603877:太平鸟首次公开发行A股网下发行初步配售结果及网上中签结果公告	网上申购及中签率公告
600156:华升股份董事会审计委员会的书面审核意见(2)	专项说明/独立意见
南通锻压:第三届董事会第九次会议决议公告	董事会决议公告
美欣达:第六届董事会第二十一次会议决议公告	董事会决议公告
丽珠集团:第八届董事会第三十三次会议决议公告	董事会决议公告
绿景控股:第十届董事会第二十三次会议决议公告	董事会决议公告
凯撒旅游:第八届董事会第十四次会议决议公告	董事会决议公告
科恒股份:第三届董事会第三十次会议决议公告	董事会决议公告
华侨城A:第七届董事会第二次临时会议决议公告	董事会决议公告
华讯方舟:第七届董事会第九次会议决议公告	董事会决议公告
金一文化:第三届董事会第二十次会议决议公告	董事会决议公告
名雕股份:第三届董事会第十次会议决议公告	董事会决议公告
深圳惠程:第五届董事会第四十次会议决议公告	董事会决议公告
河池化工:第八届董事会第六次会议决议公告	董事会决议公告
金一文化:独立董事关于第三届董事会第二十次会议相关事项的事前认可意见	专项说明/独立意见
600162:香江控股关于实际控制人之一致行动人增持公司股份的补充公告	股东/实际控制人股份增持
南宁糖业:第六届董事会2016年第九次临时会议(通讯表决)决议公告	董事会决议公告
蓉胜超微:第五届董事会第三十三次会议决议公告	董事会决议公告
靖远煤电:第八届董事会第十次会议决议公告	董事会决议公告
龙泉股份:第三届董事会第六次会议决议公告	董事会决议公告
600545:新疆城建:卓郎智能机械有限公司2013年度、2014年度、2015年度及截至2016年8月31日止8个月期间财务报表及审计报告	其他
禾盛新材:第四届董事会第十一次会议决议公告	董事会决议公告
科华恒盛:2016年第七次临时股东大会决议公告	股东大会决议公告
恒锋工具:浙江上优刀具有限公司审计报告	其他
海德股份:董事会决议公告	董事会决议公告
京汉股份:香河泰赫房地产开发有限公司审计报告	其他
宁波东力:关于2016年第二次临时股东大会决议的公告	股东大会决议公告
汇金股份:第三届董事会第六次会议决议公告	董事会决议公告
美欣达:浙江旺能环保股份有限公司2014年-2016年9月审计报告	其他
平潭发展:2016年第三次临时股东大会决议公告	股东大会决议公告
汇金股份:独立董事关于公司第三届董事会第六次会议相关事项的事前认可意见	专项说明/独立意见
欧浦智网:2016年第五次临时股东大会决议公告	股东大会决议公告
国风塑业:董事会六届十二次会议决议公告	董事会决议公告
冠福股份:关于公司发行股份及支付现金购买资产并募集配套资金申请并购重组委审核意见的回复	保荐/核查意见
财信发展:安信证券股份有限公司关于公司2016年持续督导培训情况报告	保荐/核查意见
奥拓电子:广发证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金实施情况之独立财务顾问核查意见(一)	保荐/核查意见
渤海金控:广发证券股份有限公司关于公司关联交易事项的专项核查意见	保荐/核查意见
超华科技:中信证券股份有限公司关于公司2016年下半年定期现场检查报告	保荐/核查意见
冠福股份:关于公司发行股份及支付现金购买资产并募集配套资金申请并购重组委审核意见的回复(二)	保荐/核查意见
冠福股份:国金证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易之独立财务顾问报告	保荐/核查意见
艾迪西:华英证券有限责任公司关于公司使用部分闲置募集资金暂时补充流动资金之独立财务顾问核查意见	保荐/核查意见
艾迪西:华英证券有限责任公司关于公司使用部分闲置募集资金进行现金管理之独立财务顾问核查意见	保荐/核查意见
青龙管业:第四届董事会第一次会议决议公告	董事会决议公告
603868:飞科电器:中信证券股份有限公司关于上海飞科电器股份有限公司2016年持续督导工作现场检查报告	保荐/核查意见
富瑞特装:第三届董事会第三十八次会议决议公告	董事会决议公告
冠福股份:国金证券股份有限公司关于公司发行股份及支付现金购买资产并募集配套资金申请之并购重组委审核意见回复(二)的核查意见	保荐/核查意见
603789:星光农机:中航证券有限公司关于星光农机股份有限公司首次公开发行股票2016年现场检查报告	保荐/核查意见
光华科技:广发证券股份有限公司关于公司持续督导期间的定期现场检查报告	保荐/核查意见
光华科技:广发证券股份有限公司关于公司2016年持续督导培训工作报告(2016年12月)	保荐/核查意见
